registrationid,registrationdate,eventid
3818,2026-04-23,116
3819,2026-05-28,457
3820,2026-01-05,449
3821,2026-11-21,198
3822,2026-08-21,346
3823,2026-05-25,479
3824,2026-12-18,409
3825,2026-11-05,247
3826,2026-04-19,498
3827,2026-01-01,13
3828,2026-10-14,27
3829,2026-09-05,24
3830,2026-05-09,182
3831,2026-10-26,481
3832,2026-12-19,476
3833,2026-05-02,325
3834,2026-08-10,473
3835,2026-06-04,11
3836,2026-04-21,250
3837,2026-01-07,495
3838,2026-04-23,111
3839,2026-02-20,253
3840,2026-04-02,437
3841,2026-03-31,91
3842,2026-06-04,421
3843,2026-07-14,134
3844,2026-09-02,132
3845,2026-11-22,118
3846,2026-09-12,187
3847,2026-08-21,36
3848,2026-01-04,461
3849,2026-10-22,321
3850,2026-11-18,171
3851,2026-10-15,138
3852,2026-07-29,178
3853,2026-06-28,149
3854,2026-03-14,313
3855,2026-09-15,84
3856,2026-11-29,21
3857,2026-02-26,26
3858,2026-01-13,121
3859,2026-03-26,19
3860,2026-03-28,377
3861,2026-02-24,35
3862,2026-10-01,467
3863,2026-09-16,20
3864,2026-07-28,10
3865,2026-12-15,317
3866,2026-01-18,261
3867,2026-02-14,250
3868,2026-04-30,420
3869,2026-11-24,383
3870,2026-12-11,326
3871,2026-03-20,24
3872,2026-07-08,419
3873,2026-03-10,3
3874,2026-04-23,442
3875,2026-03-19,493
3876,2026-11-09,403
3877,2026-09-05,388
3878,2026-07-25,157
3879,2026-04-14,162
3880,2026-04-05,89
3881,2026-05-20,127
3882,2026-06-30,76
3883,2026-11-02,475
3884,2026-08-12,10
3885,2026-04-09,264
3886,2026-02-01,239
3887,2026-05-04,176
3888,2026-11-04,332
3889,2026-11-07,377
3890,2026-03-13,379
3891,2026-07-24,149
3892,2026-10-10,312
3893,2026-05-13,458
3894,2026-12-29,407
3895,2026-06-15,382
3896,2026-04-13,480
3897,2026-03-29,56
3898,2026-09-06,61
3899,2026-01-15,442
3900,2026-05-06,419
3901,2026-09-16,28
3902,2026-03-03,280
3903,2026-01-25,215
3904,2026-06-11,429
3905,2026-03-19,351
3906,2026-05-27,257
3907,2026-04-03,219
3908,2026-04-05,21
3909,2026-01-15,172
3910,2026-07-02,374
3911,2026-12-21,65
3912,2026-12-12,252
3913,2026-01-19,145
3914,2026-10-21,323
3915,2026-04-25,25
3916,2026-07-24,252
3917,2026-07-12,478
3918,2026-03-30,16
3919,2026-03-14,126
3920,2026-09-01,359
3921,2026-11-01,377
3922,2026-10-04,201
3923,2026-12-12,158
3924,2026-12-10,339
3925,2026-07-05,466
3926,2026-01-16,186
3927,2026-10-17,269
3928,2026-02-03,433
3929,2026-11-10,296
3930,2026-09-11,395
3931,2026-04-04,111
3932,2026-12-27,111
3933,2026-02-27,199
3934,2026-05-08,488
3935,2026-01-14,376
3936,2026-05-27,289
3937,2026-01-20,24
3938,2026-08-22,280
3939,2026-10-21,400
3940,2026-10-11,229
3941,2026-03-14,385
3942,2026-11-03,144
3943,2026-03-11,291
3944,2026-02-18,118
3945,2026-09-26,283
3946,2026-02-03,442
3947,2026-11-04,395
3948,2026-10-24,158
3949,2026-07-01,292
3950,2026-08-25,393
3951,2026-12-07,50
3952,2026-07-04,381
3953,2026-09-22,285
3954,2026-05-12,465
3955,2026-12-20,311
3956,2026-01-13,462
3957,2026-02-03,422
3958,2026-12-09,442
3959,2026-04-08,500
3960,2026-03-30,40
3961,2026-05-11,55
3962,2026-09-15,300
3963,2026-11-27,42
3964,2026-02-20,262
3965,2026-04-26,170
3966,2026-04-25,208
3967,2026-05-21,209
3968,2026-06-30,371
3969,2026-10-20,357
3970,2026-01-11,36
3971,2026-12-30,233
3972,2026-11-10,249
3973,2026-04-04,198
3974,2026-01-09,144
3975,2026-09-27,324
3976,2026-05-04,259
3977,2026-09-16,150
3978,2026-03-17,14
3979,2026-09-18,182
3980,2026-05-05,254
3981,2026-05-08,262
3982,2026-09-14,365
3983,2026-08-26,466
3984,2026-06-16,152
3985,2026-05-04,250
3986,2026-01-02,108
3987,2026-08-17,157
3988,2026-01-29,13
3989,2026-05-16,184
3990,2026-05-16,406
3991,2026-03-31,210
3992,2026-05-19,403
3993,2026-06-24,412
3994,2026-04-18,389
3995,2026-06-09,323
3996,2026-04-23,177
3997,2026-08-11,304
3998,2026-10-09,196
3999,2026-10-11,111
4000,2026-12-01,137
4001,2026-03-09,106
4002,2026-09-10,56
4003,2026-09-19,92
4004,2026-08-02,93
4005,2026-09-29,379
4006,2026-09-07,384
4007,2026-02-08,191
4008,2026-03-29,61
4009,2026-01-07,324
4010,2026-07-06,80
4011,2026-10-02,459
4012,2026-04-12,9
4013,2026-11-19,484
4014,2026-11-16,227
4015,2026-08-19,455
4016,2026-07-05,313
4017,2026-01-18,405
4018,2026-08-18,211
4019,2026-09-08,435
4020,2026-03-25,465
4021,2026-07-21,146
4022,2026-06-02,105
4023,2026-12-10,56
4024,2026-02-11,371
4025,2026-08-04,315
4026,2026-06-01,70
4027,2026-10-19,265
4028,2026-06-18,91
4029,2026-06-07,208
4030,2026-09-30,164
4031,2026-05-29,287
4032,2026-07-02,419
4033,2026-04-26,314
4034,2026-08-11,392
4035,2026-11-14,454
4036,2026-05-12,354
4037,2026-01-07,418
4038,2026-04-10,241
4039,2026-02-20,342
4040,2026-05-28,317
4041,2026-12-30,168
4042,2026-09-21,466
4043,2026-03-17,71
4044,2026-10-29,212
4045,2026-06-02,178
4046,2026-04-27,58
4047,2026-10-09,359
4048,2026-10-08,434
4049,2026-09-10,69
4050,2026-12-31,378
4051,2026-02-28,319
4052,2026-06-17,404
4053,2026-06-15,54
4054,2026-09-13,31
4055,2026-04-08,328
4056,2026-12-14,394
4057,2026-07-07,71
4058,2026-08-28,296
4059,2026-01-10,296
4060,2026-06-09,317
4061,2026-08-16,331
4062,2026-03-31,377
4063,2026-04-26,493
4064,2026-05-08,497
4065,2026-09-15,279
4066,2026-03-06,277
4067,2026-11-30,371
4068,2026-04-03,277
4069,2026-12-28,12
4070,2026-01-18,497
4071,2026-12-12,294
4072,2026-03-16,16
4073,2026-09-11,277
4074,2026-01-02,114
4075,2026-07-10,453
4076,2026-03-26,220
4077,2026-03-01,485
4078,2026-03-02,87
4079,2026-06-22,116
4080,2026-01-21,162
4081,2026-09-25,474
4082,2026-01-20,123
4083,2026-12-15,195
4084,2026-01-03,68
4085,2026-03-18,265
4086,2026-11-17,440
4087,2026-10-01,90
4088,2026-06-21,322
4089,2026-09-02,297
4090,2026-05-02,424
4091,2026-05-21,232
4092,2026-08-11,298
4093,2026-01-23,165
4094,2026-05-27,274
4095,2026-04-11,280
4096,2026-04-11,245
4097,2026-01-16,273
4098,2026-03-20,47
4099,2026-09-02,130
4100,2026-10-11,19
4101,2026-05-03,78
4102,2026-12-22,459
4103,2026-12-17,223
4104,2026-08-07,342
4105,2026-12-18,364
4106,2026-05-24,318
4107,2026-03-15,166
4108,2026-10-22,30
4109,2026-08-05,226
4110,2026-03-28,67
4111,2026-01-28,316
4112,2026-05-17,376
4113,2026-08-25,154
4114,2026-05-04,109
4115,2026-03-29,206
4116,2026-12-18,394
4117,2026-02-23,342
4118,2026-06-05,377
4119,2026-09-29,65
4120,2026-02-16,409
4121,2026-05-26,19
4122,2026-12-01,212
4123,2026-04-22,426
4124,2026-08-31,48
4125,2026-02-03,387
4126,2026-12-02,163
4127,2026-01-04,99
4128,2026-06-23,326
4129,2026-02-17,448
4130,2026-02-03,381
4131,2026-06-28,334
4132,2026-02-27,223
4133,2026-07-03,329
4134,2026-03-20,234
4135,2026-06-06,62
4136,2026-04-11,383
4137,2026-11-24,141
4138,2026-06-20,278
4139,2026-07-13,343
4140,2026-06-21,205
4141,2026-02-08,393
4142,2026-03-16,413
4143,2026-07-14,262
4144,2026-12-28,106
4145,2026-09-16,50
4146,2026-03-30,285
4147,2026-05-29,156
4148,2026-09-18,294
4149,2026-08-28,382
4150,2026-10-29,159
4151,2026-08-18,45
4152,2026-04-04,89
4153,2026-08-06,261
4154,2026-05-19,496
4155,2026-07-03,299
4156,2026-02-26,441
4157,2026-12-02,248
4158,2026-01-05,413
4159,2026-07-22,259
4160,2026-07-04,136
4161,2026-04-25,170
4162,2026-05-20,345
4163,2026-11-30,474
4164,2026-08-19,109
4165,2026-08-12,113
4166,2026-11-30,208
4167,2026-01-05,182
4168,2026-09-22,156
4169,2026-07-14,403
4170,2026-06-04,64
4171,2026-04-10,408
4172,2026-04-23,401
4173,2026-12-09,281
4174,2026-04-06,190
4175,2026-02-16,89
4176,2026-01-16,241
4177,2026-03-05,50
4178,2026-08-29,396
4179,2026-02-03,274
4180,2026-03-31,150
4181,2026-08-12,297
4182,2026-10-12,403
4183,2026-04-05,373
4184,2026-07-15,473
4185,2026-05-21,470
4186,2026-10-18,249
4187,2026-01-07,217
4188,2026-10-28,397
4189,2026-06-21,23
4190,2026-08-07,479
4191,2026-06-13,270
4192,2026-12-16,23
4193,2026-07-08,41
4194,2026-12-27,107
4195,2026-12-04,61
4196,2026-08-12,154
4197,2026-07-22,185
4198,2026-08-22,40
4199,2026-11-09,464
4200,2026-04-01,368
4201,2026-12-03,450
4202,2026-01-31,23
4203,2026-12-26,331
4204,2026-12-14,401
4205,2026-12-30,431
4206,2026-06-28,32
4207,2026-07-22,171
4208,2026-08-11,115
4209,2026-01-01,390
4210,2026-11-05,404
4211,2026-08-07,57
4212,2026-03-16,96
4213,2026-01-22,94
4214,2026-12-22,429
4215,2026-04-23,493
4216,2026-09-07,498
4217,2026-08-30,309
4218,2026-06-17,68
4219,2026-09-05,269
4220,2026-05-02,255
4221,2026-10-16,477
4222,2026-06-19,135
4223,2026-06-26,449
4224,2026-10-04,309
4225,2026-10-21,377
4226,2026-02-14,331
4227,2026-09-24,20
4228,2026-11-07,57
4229,2026-11-29,431
4230,2026-09-25,302
4231,2026-05-29,378
4232,2026-10-30,316
4233,2026-08-09,75
4234,2026-08-29,33
4235,2026-02-20,332
4236,2026-06-28,225
4237,2026-10-14,98
4238,2026-03-04,117
4239,2026-03-05,146
4240,2026-03-11,205
4241,2026-07-10,203
4242,2026-08-26,221
4243,2026-12-15,407
4244,2026-06-18,132
4245,2026-03-20,87
4246,2026-07-18,124
4247,2026-04-23,119
4248,2026-12-29,329
4249,2026-10-21,216
4250,2026-10-03,460
4251,2026-06-20,255
4252,2026-12-24,24
4253,2026-05-24,14
4254,2026-10-02,33
4255,2026-08-19,116
4256,2026-11-10,392
4257,2026-09-20,394
4258,2026-01-26,232
4259,2026-04-18,99
4260,2026-04-18,499
4261,2026-07-09,140
4262,2026-06-09,148
4263,2026-07-15,410
4264,2026-05-04,274
4265,2026-06-09,294
4266,2026-06-14,190
4267,2026-11-19,283
4268,2026-04-02,66
4269,2026-01-01,162
4270,2026-04-06,272
4271,2026-12-23,2
4272,2026-05-03,295
4273,2026-06-05,235
4274,2026-12-26,278
4275,2026-04-20,195
4276,2026-02-21,162
4277,2026-06-28,466
4278,2026-08-05,425
4279,2026-08-03,171
4280,2026-11-24,289
4281,2026-07-15,460
4282,2026-04-25,245
4283,2026-05-05,205
4284,2026-05-20,63
4285,2026-12-13,493
4286,2026-12-19,50
4287,2026-02-17,383
4288,2026-11-10,236
4289,2026-09-11,119
4290,2026-02-21,483
4291,2026-02-23,419
4292,2026-10-04,241
4293,2026-08-14,496
4294,2026-07-10,232
4295,2026-04-16,201
4296,2026-06-29,24
4297,2026-11-11,201
4298,2026-05-12,258
4299,2026-06-11,180
4300,2026-06-09,393
4301,2026-02-13,30
4302,2026-10-19,25
4303,2026-06-01,199
4304,2026-10-24,480
4305,2026-02-21,171
4306,2026-08-11,444
4307,2026-12-06,67
4308,2026-11-25,269
4309,2026-09-22,436
4310,2026-11-27,181
4311,2026-04-12,59
4312,2026-12-11,500
4313,2026-07-19,66
4314,2026-01-26,282
4315,2026-05-25,334
4316,2026-01-17,300
4317,2026-07-31,488
4318,2026-12-07,455
4319,2026-06-24,149
4320,2026-12-06,397
4321,2026-05-29,389
4322,2026-05-24,449
4323,2026-12-15,379
4324,2026-10-05,181
4325,2026-03-26,409
4326,2026-10-11,293
4327,2026-12-26,184
4328,2026-11-18,479
4329,2026-07-23,470
4330,2026-01-07,345
4331,2026-06-05,139
4332,2026-10-17,467
4333,2026-11-20,52
4334,2026-01-04,343
4335,2026-09-18,129
4336,2026-09-18,192
4337,2026-01-06,352
4338,2026-09-06,481
4339,2026-08-15,284
4340,2026-02-05,51
4341,2026-02-22,24
4342,2026-08-06,327
4343,2026-06-17,411
4344,2026-08-17,493
4345,2026-10-05,441
4346,2026-08-23,337
4347,2026-09-30,397
4348,2026-01-17,286
4349,2026-09-13,495
4350,2026-07-20,482
4351,2026-05-21,500
4352,2026-10-23,61
4353,2026-04-02,198
4354,2026-10-29,140
4355,2026-01-04,240
4356,2026-03-16,317
4357,2026-08-03,320
4358,2026-04-04,119
4359,2026-08-15,449
4360,2026-12-27,338
4361,2026-11-14,176
4362,2026-07-07,456
4363,2026-02-27,115
4364,2026-07-18,169
4365,2026-11-03,19
4366,2026-04-07,375
4367,2026-03-31,44
4368,2026-07-23,476
4369,2026-06-22,339
4370,2026-07-26,402
4371,2026-07-03,175
4372,2026-06-19,71
4373,2026-04-22,468
4374,2026-02-06,85
4375,2026-06-29,489
4376,2026-08-08,174
4377,2026-05-28,436
4378,2026-08-29,282
4379,2026-05-16,387
4380,2026-11-28,259
4381,2026-12-07,233
4382,2026-06-19,82
4383,2026-10-23,214
4384,2026-11-20,128
4385,2026-11-21,74
4386,2026-10-09,170
4387,2026-09-10,114
4388,2026-09-26,116
4389,2026-03-20,216
4390,2026-05-23,72
4391,2026-05-07,387
4392,2026-05-11,225
4393,2026-08-15,434
4394,2026-03-30,359
4395,2026-10-19,63
4396,2026-06-26,337
4397,2026-10-29,366
4398,2026-03-31,162
4399,2026-03-11,132
4400,2026-10-20,198
4401,2026-02-26,79
4402,2026-11-28,154
4403,2026-01-08,122
4404,2026-10-09,245
4405,2026-12-28,92
4406,2026-09-23,448
4407,2026-01-14,99
4408,2026-06-09,317
4409,2026-09-14,120
4410,2026-11-25,288
4411,2026-01-28,359
4412,2026-03-04,406
4413,2026-10-27,307
4414,2026-04-16,84
4415,2026-05-11,216
4416,2026-06-07,332
4417,2026-02-05,145
4418,2026-11-16,195
4419,2026-09-03,177
4420,2026-09-29,281
4421,2026-03-10,168
4422,2026-06-23,124
4423,2026-08-24,275
4424,2026-10-25,327
4425,2026-03-24,33
4426,2026-07-05,177
4427,2026-03-25,268
4428,2026-07-05,166
4429,2026-02-21,148
4430,2026-01-04,438
4431,2026-01-30,103
4432,2026-11-30,475
4433,2026-08-08,492
4434,2026-01-30,92
4435,2026-09-20,273
4436,2026-04-21,80
4437,2026-12-22,439
4438,2026-03-04,168
4439,2026-06-15,53
4440,2026-06-23,151
4441,2026-08-26,226
4442,2026-08-18,406
4443,2026-10-09,396
4444,2026-03-13,314
4445,2026-03-27,352
4446,2026-11-28,153
4447,2026-03-20,410
4448,2026-03-15,10
4449,2026-03-12,305
4450,2026-12-25,444
4451,2026-11-07,279
4452,2026-09-13,482
4453,2026-08-31,115
4454,2026-12-01,297
4455,2026-10-17,486
4456,2026-01-19,105
4457,2026-05-06,406
4458,2026-01-15,360
4459,2026-04-30,241
4460,2026-03-20,65
4461,2026-01-31,407
4462,2026-01-17,240
4463,2026-01-02,277
4464,2026-09-22,323
4465,2026-08-23,22
4466,2026-02-27,26
4467,2026-02-08,499
4468,2026-03-11,443
4469,2026-08-31,403
4470,2026-03-05,375
4471,2026-07-25,231
4472,2026-04-10,375
4473,2026-12-13,297
4474,2026-08-25,332
4475,2026-07-17,270
4476,2026-08-24,237
4477,2026-03-11,269
4478,2026-01-01,335
4479,2026-08-17,245
4480,2026-03-21,164
4481,2026-07-01,319
4482,2026-10-07,328
4483,2026-09-26,6
4484,2026-01-24,395
4485,2026-12-18,247
4486,2026-09-30,275
4487,2026-06-25,397
4488,2026-06-15,84
4489,2026-02-03,188
4490,2026-07-15,314
4491,2026-09-10,398
4492,2026-11-03,412
4493,2026-01-27,293
4494,2026-03-08,374
4495,2026-02-09,197
4496,2026-06-23,88
4497,2026-08-04,435
4498,2026-10-30,352
4499,2026-01-30,300
4500,2026-03-19,68
4501,2026-02-11,144
4502,2026-09-26,357
4503,2026-04-12,344
4504,2026-03-31,174
4505,2026-07-08,354
4506,2026-11-11,226
4507,2026-07-08,74
4508,2026-05-03,401
4509,2026-11-03,92
4510,2026-10-11,77
4511,2026-02-28,73
4512,2026-01-26,131
4513,2026-05-19,18
4514,2026-02-13,354
4515,2026-05-11,186
4516,2026-04-18,391
4517,2026-02-01,298
4518,2026-01-02,20
4519,2026-10-06,136
4520,2026-11-07,344
4521,2026-04-16,161
4522,2026-03-04,238
4523,2026-08-22,125
4524,2026-10-13,469
4525,2026-09-24,233
4526,2026-02-21,99
4527,2026-06-18,74
4528,2026-05-17,251
4529,2026-06-04,237
4530,2026-08-28,396
4531,2026-09-30,437
4532,2026-10-17,400
4533,2026-02-16,111
4534,2026-08-03,455
4535,2026-08-18,492
4536,2026-10-26,142
4537,2026-03-03,56
4538,2026-01-26,356
4539,2026-02-17,235
4540,2026-11-04,256
4541,2026-09-04,415
4542,2026-06-06,451
4543,2026-10-20,251
4544,2026-06-21,173
4545,2026-05-24,110
4546,2026-02-07,266
4547,2026-05-08,194
4548,2026-01-02,38
4549,2026-02-27,248
4550,2026-06-29,249
4551,2026-05-31,94
4552,2026-01-11,220
4553,2026-06-09,242
4554,2026-08-06,315
4555,2026-02-02,238
4556,2026-06-21,60
4557,2026-02-09,406
4558,2026-03-07,352
4559,2026-06-27,319
4560,2026-05-31,456
4561,2026-11-18,341
4562,2026-01-27,120
4563,2026-02-12,199
4564,2026-04-06,326
4565,2026-09-08,123
4566,2026-01-02,306
4567,2026-08-23,433
4568,2026-03-10,342
4569,2026-06-04,350
4570,2026-10-23,367
4571,2026-07-13,39
4572,2026-09-01,390
4573,2026-11-19,293
4574,2026-03-27,337
4575,2026-07-16,370
4576,2026-09-29,436
4577,2026-03-16,274
4578,2026-05-27,207
4579,2026-10-24,475
4580,2026-09-05,280
4581,2026-08-29,122
4582,2026-08-13,112
4583,2026-06-21,222
4584,2026-03-08,219
4585,2026-02-23,438
4586,2026-04-21,264
4587,2026-11-14,321
4588,2026-10-18,301
4589,2026-03-09,449
4590,2026-01-21,92
4591,2026-10-26,90
4592,2026-05-25,375
4593,2026-07-22,260
4594,2026-05-28,306
4595,2026-01-07,128
4596,2026-02-12,196
4597,2026-08-03,146
4598,2026-09-16,450
4599,2026-11-25,265
4600,2026-04-06,35
4601,2026-05-02,187
4602,2026-03-22,48
4603,2026-02-11,467
4604,2026-06-04,287
4605,2026-06-14,283
4606,2026-07-21,394
4607,2026-04-07,53
4608,2026-01-14,16
4609,2026-02-25,388
4610,2026-07-16,237
4611,2026-08-08,261
4612,2026-04-18,370
4613,2026-12-27,81
4614,2026-01-07,462
4615,2026-12-27,103
4616,2026-07-13,31
4617,2026-12-01,373
4618,2026-03-25,408
4619,2026-03-30,198
4620,2026-04-24,446
4621,2026-04-11,155
4622,2026-01-24,260
4623,2026-08-13,468
4624,2026-12-10,15
4625,2026-01-07,7
4626,2026-01-04,411
4627,2026-03-13,383
4628,2026-11-24,28
4629,2026-03-07,111
4630,2026-10-21,194
4631,2026-09-20,303
4632,2026-05-28,75
4633,2026-04-10,412
4634,2026-11-16,113
4635,2026-03-15,173
4636,2026-05-12,366
4637,2026-01-28,358
4638,2026-06-03,195
4639,2026-05-11,86
4640,2026-08-21,327
4641,2026-05-18,242
4642,2026-11-26,243
4643,2026-07-24,432
4644,2026-08-17,266
4645,2026-07-19,368
4646,2026-09-19,267
4647,2026-03-18,18
4648,2026-08-24,372
4649,2026-07-11,460
4650,2026-11-17,105
4651,2026-01-07,14
4652,2026-06-23,70
4653,2026-06-27,128
4654,2026-11-08,367
4655,2026-04-11,209
4656,2026-10-23,242
4657,2026-10-26,64
4658,2026-07-10,249
4659,2026-03-18,294
4660,2026-05-12,340
4661,2026-09-05,138
4662,2026-07-28,298
4663,2026-09-06,148
4664,2026-04-18,497
4665,2026-06-09,133
4666,2026-05-06,374
4667,2026-06-16,429
4668,2026-01-26,292
4669,2026-12-10,461
4670,2026-02-06,179
4671,2026-03-31,26
4672,2026-10-31,466
4673,2026-02-15,471
4674,2026-04-25,140
4675,2026-04-27,93
4676,2026-04-30,257
4677,2026-03-28,84
4678,2026-08-06,368
4679,2026-11-07,380
4680,2026-01-27,401
4681,2026-12-07,117
4682,2026-06-11,102
4683,2026-09-08,358
4684,2026-06-16,292
4685,2026-11-25,250
4686,2026-09-05,138
4687,2026-10-06,329
4688,2026-06-17,295
4689,2026-03-29,419
4690,2026-05-15,206
4691,2026-02-14,486
4692,2026-04-21,317
4693,2026-04-19,272
4694,2026-09-12,309
4695,2026-11-08,97
4696,2026-01-13,297
4697,2026-02-22,197
4698,2026-04-30,25
4699,2026-12-31,494
4700,2026-02-19,117
4701,2026-04-17,387
4702,2026-12-11,352
4703,2026-01-12,471
4704,2026-03-20,240
4705,2026-07-02,376
4706,2026-07-11,298
4707,2026-06-12,460
4708,2026-07-29,387
4709,2026-06-24,185
4710,2026-12-03,366
4711,2026-08-13,368
4712,2026-05-13,45
4713,2026-11-24,78
4714,2026-04-12,417
4715,2026-01-17,395
4716,2026-10-21,178
4717,2026-04-15,171
4718,2026-11-05,442
4719,2026-04-17,374
4720,2026-02-11,274
4721,2026-05-01,421
4722,2026-11-12,55
4723,2026-04-06,227
4724,2026-01-28,445
4725,2026-09-16,286
4726,2026-02-13,44
4727,2026-01-13,476
4728,2026-05-12,440
4729,2026-06-10,228
4730,2026-05-27,79
4731,2026-04-12,124
4732,2026-06-05,111
4733,2026-12-06,170
4734,2026-10-14,1
4735,2026-12-08,85
4736,2026-07-31,468
4737,2026-11-14,376
4738,2026-12-15,309
4739,2026-11-21,475
4740,2026-07-31,27
4741,2026-03-14,11
4742,2026-08-27,473
4743,2026-04-27,233
4744,2026-02-08,236
4745,2026-08-11,82
4746,2026-01-17,149
4747,2026-08-11,326
4748,2026-03-26,91
4749,2026-06-21,458
4750,2026-04-25,148
4751,2026-06-19,132
4752,2026-08-08,385
4753,2026-08-29,319
4754,2026-09-29,31
4755,2026-12-17,93
4756,2026-08-18,339
4757,2026-04-11,247
4758,2026-11-17,375
4759,2026-12-31,173
4760,2026-08-04,181
4761,2026-11-11,159
4762,2026-04-12,288
4763,2026-12-08,395
4764,2026-07-09,147
4765,2026-03-28,490
4766,2026-01-14,207
4767,2026-05-09,185
4768,2026-01-08,494
4769,2026-01-14,427
4770,2026-12-01,336
4771,2026-03-15,164
4772,2026-01-10,407
4773,2026-08-25,23
4774,2026-07-08,186
4775,2026-05-16,187
4776,2026-01-01,278
4777,2026-07-11,71
4778,2026-09-16,278
4779,2026-02-03,25
4780,2026-10-26,262
4781,2026-04-17,109
4782,2026-01-10,490
4783,2026-07-12,371
4784,2026-11-09,186
4785,2026-03-10,168
4786,2026-10-17,500
4787,2026-02-06,250
4788,2026-10-04,496
4789,2026-05-29,381
4790,2026-06-27,409
4791,2026-10-18,73
4792,2026-03-02,468
4793,2026-10-19,399
4794,2026-05-03,264
4795,2026-12-20,266
4796,2026-02-07,230
4797,2026-08-07,408
4798,2026-05-03,161
4799,2026-05-14,356
4800,2026-06-26,44
4801,2026-04-04,29
4802,2026-04-13,407
4803,2026-10-23,78
4804,2026-03-11,279
4805,2026-05-02,427
4806,2026-03-02,439
4807,2026-10-22,338
4808,2026-08-16,377
4809,2026-10-16,388
4810,2026-03-09,74
4811,2026-03-28,30
4812,2026-08-03,159
4813,2026-11-25,33
4814,2026-04-09,421
4815,2026-07-26,407
4816,2026-05-24,409
4817,2026-01-15,187
4818,2026-12-01,84
4819,2026-01-10,209
4820,2026-10-21,178
4821,2026-05-12,32
4822,2026-05-10,138
4823,2026-02-20,18
4824,2026-10-29,132
4825,2026-10-21,86
4826,2026-09-16,428
4827,2026-09-01,445
4828,2026-11-06,44
4829,2026-12-11,426
4830,2026-04-16,105
4831,2026-08-27,351
4832,2026-03-26,125
4833,2026-05-12,325
4834,2026-04-11,168
4835,2026-04-06,221
4836,2026-11-19,359
4837,2026-05-20,379
4838,2026-02-20,289
4839,2026-01-09,486
4840,2026-12-14,224
4841,2026-02-18,185
4842,2026-09-11,151
4843,2026-11-13,134
4844,2026-10-11,302
4845,2026-10-15,180
4846,2026-05-19,211
4847,2026-01-15,29
4848,2026-05-03,292
4849,2026-12-07,463
4850,2026-11-13,291
4851,2026-08-20,471
4852,2026-08-15,186
4853,2026-03-30,267
4854,2026-09-16,191
4855,2026-01-10,410
4856,2026-05-31,273
4857,2026-02-02,10
4858,2026-02-11,368
4859,2026-05-26,156
4860,2026-06-15,393
4861,2026-11-22,430
4862,2026-02-01,231
4863,2026-09-13,234
4864,2026-07-29,411
4865,2026-03-14,293
4866,2026-02-11,258
4867,2026-01-28,301
4868,2026-08-30,256
4869,2026-03-10,415
4870,2026-07-03,269
4871,2026-09-06,415
4872,2026-10-12,111
4873,2026-09-06,30
4874,2026-01-06,49
4875,2026-05-27,181
4876,2026-07-19,109
4877,2026-08-28,325
4878,2026-04-08,388
4879,2026-07-26,144
4880,2026-08-15,107
4881,2026-03-17,9
4882,2026-12-21,132
4883,2026-08-29,42
4884,2026-12-19,378
4885,2026-01-20,417
4886,2026-01-08,265
4887,2026-08-18,394
4888,2026-11-30,37
4889,2026-04-01,41
4890,2026-12-04,292
4891,2026-07-26,200
4892,2026-05-30,487
4893,2026-03-07,485
4894,2026-07-31,23
4895,2026-06-16,149
4896,2026-05-09,479
4897,2026-08-21,122
4898,2026-03-25,158
4899,2026-07-20,344
4900,2026-02-08,61
4901,2026-02-14,361
4902,2026-08-02,52
4903,2026-08-07,21
4904,2026-05-17,279
4905,2026-10-10,267
4906,2026-11-23,195
4907,2026-06-23,125
4908,2026-02-17,332
4909,2026-12-14,88
4910,2026-06-01,50
4911,2026-04-20,215
4912,2026-04-22,359
4913,2026-02-07,408
4914,2026-12-19,174
4915,2026-08-02,96
4916,2026-01-19,495
4917,2026-05-23,429
4918,2026-10-06,22
4919,2026-06-20,203
4920,2026-11-04,464
4921,2026-04-15,282
4922,2026-04-20,44
4923,2026-09-23,222
4924,2026-12-14,264
4925,2026-11-09,165
4926,2026-11-02,53
4927,2026-04-23,434
4928,2026-04-28,281
4929,2026-11-21,491
4930,2026-12-04,237
4931,2026-09-12,15
4932,2026-12-19,116
4933,2026-03-29,58
4934,2026-09-07,145
4935,2026-07-26,412
4936,2026-09-19,350
4937,2026-02-24,197
4938,2026-03-08,64
4939,2026-08-08,184
4940,2026-07-12,297
4941,2026-01-11,376
4942,2026-02-22,202
4943,2026-12-07,29
4944,2026-05-16,391
4945,2026-01-09,7
4946,2026-01-04,300
4947,2026-08-31,234
4948,2026-12-25,65
4949,2026-05-15,236
4950,2026-12-31,403
4951,2026-10-09,344
4952,2026-09-14,232
4953,2026-12-29,330
4954,2026-04-27,141
4955,2026-04-05,407
4956,2026-05-21,369
4957,2026-07-09,100
4958,2026-10-25,86
4959,2026-07-20,421
4960,2026-10-16,297
4961,2026-02-13,487
4962,2026-02-27,314
4963,2026-12-27,348
4964,2026-02-27,115
4965,2026-08-25,494
4966,2026-10-12,28
4967,2026-06-11,419
4968,2026-01-10,218
4969,2026-01-28,386
4970,2026-01-29,207
4971,2026-01-02,315
4972,2026-11-24,9
4973,2026-07-01,263
4974,2026-11-08,96
4975,2026-08-30,331
4976,2026-11-08,331
4977,2026-03-27,449
4978,2026-04-17,359
4979,2026-11-10,400
4980,2026-11-05,154
4981,2026-04-13,198
4982,2026-02-04,414
